,id,main,reply,target,stance_target_47,stance_target_54,stance_target_55,stance_target_67,stance_target_70,stance_target_71,stance_target_73,stance_target_79,majority,label
3966,4868,"""مداخلتي قبل قليل على قناة الجزيرة مباشر بموضوع العلاقات بين <span class=""stance-tagging"">اسرائيل ومصر</span> . اتمنى ان تنال اعجابكم. https://t.co/3IQiSmKFIk""",@EdyCohen عدم المهنية الإعلاميةيجسدها المحاور،عندما يجيب على سؤال الضيف ولايعطيه الفرصة للرد وينهي الحوار!،وهذا ماواجهته في مركز تدريب الجزيرةعندما حصلت على أفضل برنامج في الدورةوقال لي نائب مدير المركز (لو نعلم أن فكرك علماني لرفضنا التحاقك بالدورة)وحرمت من كل مزايا حصولي على أفضل برنامج,اسرائيل ومصر,,repeated,,comment,comment,,,,comment,2.0
6804,31923,"""عاجل 🔴  .  . <span class=""stance-tagging"">وزير الاتصالات</span> :   المملكة العربية السعودية اليوم في المرتبة الثانية عالمياً في تقنية 5 جي. .  . السعودية 🇸🇦🇸🇦""",@AJELNEWS24 جعل من ( يسوي رتويت ) او ساهم بسدادها يده ما تمسها النار وربي يجعل خاتمته جنات ونعيم 🤲🏻🤲🏻  رقم فاتورة التنفيذ : 2023480730  رب أسرة عندي طفلين، موقفه خدماتي واسكن باجار، قصرت بحق عيالي لسوئ اوضاعي المادية وأمر بظروف ما يعلم بها الا رب العالمين,وزير الاتصالات,,,,,comment,,,comment,comment,2.0
5183,11461,"""ولي العهد الأمير <span class=""stance-tagging"">#محمد_بن_سلمان</span> يطلق مشروع """"ذا لاين"""" في #نيوم عمار يا دارنا 🇸🇦 https://t.co/QBMUSsEsQe  #مشروع_ذا_لاين  #whatisTHELINE""",@1iTariq مشروع يستحق الفخر من ولي عهد يمتلك الطموح والروح لنهضه جديده,محمد بن سلمان,,,,,support,,,support,support,0.0
5955,30792,"""انفاذًا للأمر الملكي..<span class=""stance-tagging"">جامعة الملك سعود:</span>  بداية الاختبارات النهائية حضوريًا في 13 رمضان عند الساعة التاسعة صباحًا،وبداية الإجازة 24 رمضان.""",@SaudiNews50 حياكم عندي عسل سدر وسمر بلدي طبيعي مضمون١٠٠٪ لدينا شهادة مخبرية تثبت العسل طبيعي ويتم ارسالها مع العسل👍🏻 من مناحل عسير الديره الشهيره بلعسل الزين🍯 الشحن مجاناً لجميع المدن *موثق ف معروف *اذا اثبت لك غير طبيعي او فيه اضافات يُسترجع مبلغ الشراء,جامعة الملك سعود:,,,,,comment,,,comment,comment,2.0
6330,31293,"""تشابك بين عدد من النواب داخل قاعة <span class=""stance-tagging"">مجلس الأمة الكويتي</span>، بعد مشادة حادة وتوتر بين الأعضاء . . . الكويت https://t.co/OeY396aV9F""",@AJELNEWS24 يااخواني يشهدالله ان الظروف اجبرتني لطلبكم ومانمر به لايعلمه الا الله  لدي اسرةكبيرةواطفال واعول والدتي واخواتي فقدت وظيفتي بسبب الجائحه تراكم الايجار ومطالبين بالإخلاءأقسم بمن أحل القسم اننا مانملك شئ ولاعندنا قوت يومنا أظلمت وضاقت بنا  تكفون الناس للناس ولاننساكم من الدعوات,مجلس الأمة الكويتي,,,,,comment,,,comment,comment,2.0
4044,4979,"""لكل ظالم لكل من شاف نفسه لكل من تجبر وحس انه قوي هذا ملك من ملوك الارض  اسمع وش يقول <span class=""stance-tagging"">#الملك_سلمان_بن_عبدالعزيز</span>  الله يحفظك ويطول بعمرك  https://t.co/QXmjfV1zhm""",@fayez_malki تكفون ساعدوني انا زوجي مريض وحالته الصحيه صعبه بالحيل ولايقدر يشتغل ابد ومعي اورق تثبت صحة زوجي انا أم لي اربعة اطفال وضروفنا صعبه لانملك شي والله العظيم حليب اولادي ماني قدره عليه ولاعندنا اغراض بالبيت وحالتنا صعبه جدا الله يجزاكم خير لاتخلوني يارب ارزقني🤲🤲🤲,الملك سلمان بن عبدالعزيز,,,comment,,comment,,,,comment,2.0
5547,30208,"""التعليم تعرب عن شكرها <span class=""stance-tagging"">للسيد مقتدى الصدر</span> وتؤكد حرصها على مستقبل أبنائها الطلبة  https://t.co/7pWRC9MGIg https://t.co/SOofol6voe""",@mohesr_gov_iq #إضراب_طلابي_عام تعلم الكتروني=امتحان الكتروني,للسيد مقتدى الصدر,,,,,comment,,,comment,comment,2.0
1029,1493,"""عاجل | السيناتور الديمقراطي كريس مورفي: أتوقع أن يتطرق جو بايدن لمسألة حقوق الإنسان في <span class=""stance-tagging"">#السعودية</span>""",@AJABreaking شماعه حقوق الانسان....,السعودية,comment,,comment,,comment,,,,comment,2.0
779,1221,"""📝- منبركم يُقدم لكم نبذة عامة عن فريقي ⁧#الهلال⁩ <span class=""stance-tagging"">والنصر</span>. https://t.co/bdjKDOxRjv""",@MnbrAlhilal رياضيا / لن تجد اقذر وأتفه من المشجع الهلال عندما يستلم موقع أو يخرج في منبر إعلامي ..إلأا من هدا الله   يعرف الحقيقة ويكذب ويتجاهل  رغم انها كورة ورياضة ولكن ستحاسب على تضليلك للمشجع الهلالي المسكين الغلبان اللي يدربي راسه ويتبنى كذبكم https://t.co/RCg8ZhfH0I,والنصر,comment,,,,comment,,,,comment,2.0
2533,3314,"""علموا اولادكم ان <span class=""stance-tagging"">اسرائيل</span> هي العدو الحقيقي وان القدس عاصمة فلسطين ❤#محمد_رمضان_صهيوني https://t.co/VARwkn2M7K""",@Hossamali1414 محمد رمضان لا يمثل مصر,اسرائيل,comment,,,comment,comment,,,,comment,2.0
4377,10451,"""للمرة الثالثة على التوالي.. رجل المباراة هو لاعبنا <span class=""stance-tagging"">إمام عاشور</span>. 🏹💪👏 https://t.co/EPSKIfOkUg""",@ZSCOfficial امام عاشور بيسطر تاريخ جديد للاعب رقم 8بيصنع ادوار جديده للمركز وهيخلى العالم كله يفكر تانى فى ادوار المركز ده,إمام عاشور,,,,,support,,,support,support,0.0
5814,30588,"""الروماني <span class=""stance-tagging"">ريجيكامب</span> مدرباً للفريق الأول لكرة القدم..  #الأهلي https://t.co/JYo8XtvuO2""",@ALAHLI_FC مدرب ممتاز,ريجيكامب,,,,,support,,,support,support,0.0
5345,11656,"""سيدي <span class=""stance-tagging"">ولي العهد</span> .. طموحنا معك بلغ عنان السماء .. تصنع الحاضر الجميل والمستقبل المشرق .. 🇸🇦🇸🇦   https://t.co/66bGmNPUwM""",@AlsuwaiketS اقول تراك رئيس نادي كبير اذا منت قد المسؤلية قدم استقالتك,ولي العهد,,,,,comment,,,comment,comment,2.0
1857,2405,"""العميل الخائن <span class=""stance-tagging"">#عبدالله_العودة</span> ولد العميل الإرهابي #سلمان_العودة يطلق رؤيته لعام 2020 قبل ٥ اسابيع من انتهاء السنة!!! . . ما نقول إلا (نحمد الله ونشكر فضله أن جعل اعدائنا من الحمقى بهذا الغباء)👇 https://t.co/RYAsh0jsEf""",@s_hm2030 الله يفضح كل متعاطف معهم ويكشف سرهم ويمحق فكرهم ويرد كيدهم لنحورهم ويطهر المجتمع من طرحهم ٠,عبدالله العودة,deny,,deny,,deny,,,,deny,1.0
4052,4988,"""لكل ظالم لكل من شاف نفسه لكل من تجبر وحس انه قوي هذا ملك من ملوك الارض  اسمع وش يقول <span class=""stance-tagging"">#الملك_سلمان_بن_عبدالعزيز</span>  الله يحفظك ويطول بعمرك  https://t.co/QXmjfV1zhm""",@fayez_malki الله يخليك لنا سيدي خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود حفظك الله ورعاك.. لما تقدمه لكافة البشر   احبك سيدي------  ودمتم لنا ذخر------,الملك سلمان بن عبدالعزيز,,,support,,support,,,,support,0.0
5852,30644,"""الروماني <span class=""stance-tagging"">ريجيكامب</span> مدرباً للفريق الأول لكرة القدم..  #الأهلي https://t.co/JYo8XtvuO2""",@ALAHLI_FC مع الأهلي في هذا الوضع لا أعتقد أنه سيقدم أي شيء يذكر .,ريجيكامب,,,,,deny,,,deny,deny,1.0
5362,11676,"""#مشروع_ذا_لاين <span class=""stance-tagging"">ولي العهد #الأمير_محمد_بن_سلمان</span> يطلق مشروع يحاكي المستقبل ويرفع السقف عالياً امام كل مدن العالم🇸🇦""",@Fesa1l5 سمو ولي العهد حفظه الله محمد بن سلمان بن عبدالعزيز آل سعود فخر لكل الأمة الإسلامية والعربية استطاع بحكمته ونظرته الثاقبة  أن يجعل ادارة دفة اقتصاد العالم في وطننا المملكة العربية السعودية و حظي باهتمام العالم بأسره حفظه الله من كل شر وسوء,ولي العهد الأمير محمد بن سلمان,,,,,support,,,support,support,0.0
4936,11189,"""صاحب السمو الملكي <span class=""stance-tagging"">الأمير محمد بن سلمان،</span> ولي العهد ورئيس مجلس إدارة شركة نيوم، يعلن عن ثورة حضارية تضع الإنسان أولا: """"اليوم، بصفتي رئيس مجلس إدارة نيوم أقدم لكم """"ذا لاين"""""""".  شاهد إعلان الإطلاق عبر https://t.co/eMbgke48am.  مرحبا بالمستقبل الجديد وأهلا بـ""""ذا لاين"""".  #مشروع_ذا_لاين https://t.co/CZ6yYiFsw4""",@NEOM ولي العهد هو من سيقود السعودية نحو المستقبل  الزاهر باذن الله,الأمير محمد بن سلمان،,,,,,support,,,support,support,0.0
5947,30780,"""انفاذًا للأمر الملكي..<span class=""stance-tagging"">جامعة الملك سعود:</span>  بداية الاختبارات النهائية حضوريًا في 13 رمضان عند الساعة التاسعة صباحًا،وبداية الإجازة 24 رمضان.""",@SaudiNews50 انشروها جزاكم الله خير لعلها تفرج على يد احد منكم بعد الله سبحانه و تعالى https://t.co/HQETSTtPSZ,جامعة الملك سعود:,,,,,comment,,,comment,comment,2.0
605,1012,"""خرج اليوم من المستشفى الإبن الغالي صاحب القلب الطيب <span class=""stance-tagging"">مروان بن عبدالحكيم بن محمد بن عبدالكريم العبدالله العبدالعزيز المشيقح</span> والذي تبرع لي بجزء من كبده أسأل الله العلي القدير ان يتمم عليه صحته وان يبارك له في حياته""",@almshaiqh الحمد لله على شفاك يابو تركي وجزاء الله كل خير الاخ مروان على تبرعه وهذا عمل عظيم بالدنيا والاخره شكرأ للاخ مروان .,مروان بن عبدالحكيم بن محمد بن عبدالكريم العبدالله العبدالعزيز المشيقح,support,,,,support,,,,support,0.0
3914,4811,"""١٢.٣٠ صباحا بعد الديوانية .. اعادة لمباراة الهلال والنصر الجولة ٢٢ من ختام <span class=""stance-tagging"">الدوري السعودي</span> لموسم ١٤٠٥-١٤٠٦ وفيها تم تتويج الهلال بلقب <span class=""stance-tagging"">الدوري السعودي</span> الممتاز.. 🛑 مين يتذكر كم كانت نتيجة المباراة .. https://t.co/xVdWrEY6VI""",@ganem_q 0/1 للهلال يوسف الثنيان,الدوري السعودي,,comment,,comment,comment,,,,comment,2.0
3673,4575,كيف  وصل  محمود عباس  ميرزا ( البهائي )   إلى  زعامة  حركة  مقاومه كبيره  بحجم  ( فتح ) ؟  أين  الشعب  الفلسطيني   ومجلسه التشريعي وقوافل   الشهداء  المنضوين   تحت   جميع  الفصائل   الفلسطينيه  من كل ذلك ؟,@DrAlnefisi من وصل السيسي وبشار وجرابيع العراق واولاد زايد وال سلول وملوك المغرب هم من اوصل هذا البهائي ليكون حاكما على الشعب الفلسطيني ..خطه مدروسه ومحكمة جدا وتسير بوتيرة ثابته منذ عشرات السنين,محمود عباس  ميرزا ( البهائي ),deny,deny,,support,,,,,deny,1.0
5794,30566,"""الروماني <span class=""stance-tagging"">ريجيكامب</span> مدرباً للفريق الأول لكرة القدم..  #الأهلي https://t.co/JYo8XtvuO2""",@ALAHLI_FC خلوكم مجهزين كرتون ماء في كل خساره 🙂,ريجيكامب,,,,,deny,,,deny,deny,1.0
2006,2560,"""عارف يعني إيه تطبيع؟يعني واحد أخد عمارة أبوك عافية وحط إيده عالمسجد اللي تحتها وطردك إنت واخواتك في الشارع، بس العمارة شرعا وقانونا لسة بإسمكم، هو ينقصه بس إعترافك، فتلاقيه رغم قوته وسلاحه بيتسول منك زيارة أو مجرد صورة عشان يقول للناس إنك موافق وماعندكش أي مشكلة معاه <span class=""stance-tagging"">#محمد_رمضان</span>""",@AbdullahElshrif اخخخخ زمااانك ي رضوان ي برنس 💔💔,محمد رمضان,comment,,comment,,comment,,,,comment,2.0
5327,11633,"""فوق هام السحب يا <span class=""stance-tagging"">أبا سلمان</span>💚🇸🇦 اللهم ارفع مقامه، وسدّد كلامه، واحفظه بعين رعايتك، وحصّنه بولايتك،  اللهم زده فلاحاً ونجاحاً، وبارك في جهوده واجعلها لصلاح العباد والبلاد. #ولي_العهد #نيوم   https://t.co/oGlynd5kEV""",@Dr_alqarnee اناشد هل لخير ولقلوب لرحيمه لباغي لخير لوجه الله ساعدوناحنا يتام ولالنا غير الله  ثم امي  يمين بالله لحال يعلم جبار السموات ولأرض 188608010308512 الله لايوفقني لو كذبت بكلمه علينادين لبقاله5000 ناخذ من اكلنا سدوها لنا عندي رقم تأكدن منه  055 832 9001 أسم ام خليل باللي تقدرون,أبا سلمان,,,,,comment,,,comment,comment,2.0
3315,4189,"""#درس_اعلامي :  🎙| اذا اتهمت <span class=""stance-tagging"">اتحاد الكرة</span> ولجنة الحكام انها ارتكب اخطاء فادحة وكوارثية فهذا نقد قاسي . 🎙| اذا اتهمت <span class=""stance-tagging"">اتحاد الكرة</span> ولجنة الحكام بأنها ترتكب هذة الاخطاء بتعمد لمصلحة طرف او ضد طرف فهذا اتهام لن تستطيع اثباته الا بأدله لاتقبل التأويل وقد يؤدي الى تعرضك لمشاكل قانونية .""",@waleedalfarraj يامعلم الناس علم نفس اترك تعصبك وخلك مفنس #النصر_الهلال  #الهلال_النصر_الديربي_الكبير https://t.co/5B1PqdQYyi,اتحاد الكرة,not claim,,,comment,comment,,,,comment,2.0
2172,2739,"""نجاج أستضافة <span class=""stance-tagging"">السعودية</span> لقمة العشرين، أصاب قطر ومرتزقتها بجنون البقر. مذيعة في قناة عزمي تدعي أن قطر هي من أستضافت قمة العشرين 😂 https://t.co/jFBmLwX6SY""",@TurkeyAffairs ههههههههه التلفزيون العربي للإسرائيلي عزمي بشارة حاكم الدوحة 😂,السعودية,comment,,comment,,support,,,,comment,2.0
1026,1490,"""عاجل | السيناتور الديمقراطي كريس مورفي: أتوقع أن يتطرق جو بايدن لمسألة حقوق الإنسان في <span class=""stance-tagging"">#السعودية</span>""",@AJABreaking حقوق الانسان يقصدون الشبك,السعودية,comment,,support,,comment,,,,comment,2.0
2214,2791,"""تنظيم <span class=""stance-tagging"">الإخوان</span> الإرهابي لايفرق في استهداف مخالفيه بين مسلم متدين أو غيره، فهم من قتل الشيخ جميل الرحمن الأفغاني ؛ لأنه لم يتفق معهم، بالرغم أن الشيخ عالمٌ في الشريعة الإسلامية، ولكنه وقف ضدهم. وهكذا مع كل من خالفهم، والفتوى جاهزة، والمنفذون الجهلة جاهزون انتصارا للدين كما يعلمونهم""",@HaniBinbrek دولة حضرموت المستقلة  لا امارات  .ولا ايران,الإخوان,comment,,comment,,comment,,,,comment,2.0
4701,10912,"""<span class=""stance-tagging"">""""عبدالله بن طلال المداح""""</span> يستمر بالإساءة لسمعة والده الراحل بتغريدات مُعيبة. https://t.co/PmEmOvnpUH""",@whrumor هذا انسان مريض نفسي واتوقع ان السبب يرجع في ان طلال الله يرحمه ما جمع وترك ثروة مثل اقرانه في ذاك الزمان محمد عبده وابو بكر سالم فعشان كذه تجده يحارب على حقوق الملكية لأغاني والده,عبدالله بن طلال المداح,,,,,deny,,,deny,deny,1.0
5106,11377,"""كلمة سمو ⁧#ولي_العهد⁩ الأمير <span class=""stance-tagging"">#محمد_بن_سلمان</span>، عن ⁧#مشروع_ذا_لاين⁩.. المدينة المليونية بطول 170 / كم،  التي تحافظ على 95% من الطبيعة في أراضي ⁧#نيوم⁩ ⁦#whatisTHELINE⁩ 🇸🇦💚🇸🇦 https://t.co/0F5g47brLv""",@b_otyf الله يقويك ويعزك فخر وعز  #مشروع_ذا_لاين https://t.co/UCR2a3zW9F,محمد بن سلمان,,,,,support,,,support,support,0.0
3332,4211,"""أكثر من عـام على توقيع <span class=""stance-tagging"">إتفاق الرياض،</span> وأكثر من ثلاثة أشهر على محاولة تجديد هذا الإتفاق بتنفيذ مااتفق على تأخيره وتأجيل مااتفق على تقديمه بحجة الحرص على تنفيذ إتفاق الرياض بمجرد استجابة الشرعية - ممثلة بالأخ الرئيس - لما طُلب منها رغم التجربةhttps://t.co/mVHPQLggrn""",@MohAlydomi يا داعشي انتم مالكم اتفاق ولا عهد استحوا يا ديوثيين من المملكه دعمتكم خلال خمس سنوات وكنتوا تقولو مطار صنعاء علئ مرمئ حجر عيب يا كذابين يا دجالين واتضح كل قوتكم سخرتها لدعم الدواعش والقاعده لقتال اهل الجنوب  اي اتفاق تتحدث عنه والأرض الشماليه كلها بيد الحوثي خزاكم الله يا واطيين,إتفاق الرياض،,comment,,support,,comment,,,,comment,2.0
3071,3890,"""<span class=""stance-tagging"">#الهلال_النصر</span> توقعاتي للمباراه ... نار ياحبيبي نار .... هنا ملك التوقعات ...... أخطئ مره واصيب الف مره 🙏🙏🙏🙏 https://t.co/J0lVJw2MlT""",@Hassanalsobhan #الهلال_النصر سبق وا انهزم مرتين في اسبوع بالخمسه الهلال وسبق فاز عليه النصر وسمي عام الدرزن  الامور بسيطه كلها⚽️,الهلال النصر,comment,,deny,comment,,,,,comment,2.0
4894,11146,"""صاحب السمو الملكي <span class=""stance-tagging"">الأمير محمد بن سلمان،</span> ولي العهد ورئيس مجلس إدارة شركة نيوم، يعلن عن ثورة حضارية تضع الإنسان أولا: """"اليوم، بصفتي رئيس مجلس إدارة نيوم أقدم لكم """"ذا لاين"""""""".  شاهد إعلان الإطلاق عبر https://t.co/eMbgke48am.  مرحبا بالمستقبل الجديد وأهلا بـ""""ذا لاين"""".  #مشروع_ذا_لاين https://t.co/CZ6yYiFsw4""",@NEOM صباح الخير 🖤 تبين تتعلمين تسوين فلاتر السناب بدون فيزا ؟  تستفيدي منها يكون مصدر دخل لك 💵   عندنا دورات تعلمك وبسعر جدًا رمزي 😌🤍🤍,الأمير محمد بن سلمان،,,,,,comment,,,comment,comment,2.0
3090,3909,"""<span class=""stance-tagging"">#الهلال_النصر</span> توقعاتي للمباراه ... نار ياحبيبي نار .... هنا ملك التوقعات ...... أخطئ مره واصيب الف مره 🙏🙏🙏🙏 https://t.co/J0lVJw2MlT""",@Hassanalsobhan توقع النتيجة صح   وتدخل السحب على اشتراك لمدة شهر لباقة Bein Sport,الهلال النصر,comment,,comment,comment,,,,,comment,2.0
1800,2347,"""عاجل | وزير الخارجية السعودي: نؤيد تطبيعا كاملا مع إسرائيل لكن لا بد أولا من اتفاق سلام دائم يضمن دولة <span class=""stance-tagging"">للفلسطينيين</span> https://t.co/1DPP1nlbc6""",@AJArabic السعوديون يسمون قناة الجزيرة قناة الخنزيرة لأن غالبية المعلقين عليها من حظيرة الخنازير السعودية 😂😁💔,للفلسطينيين,comment,,comment,,comment,,,,comment,2.0
1985,2539,"""فيديو للحفلة المثيرة للجدل التي حضرها <span class=""stance-tagging"">#محمد_رمضان</span> مع مشاهير إسرائيليين على أنغام موسيقى Hava Nagila الشهيرة https://t.co/qVoit5zxZj""",@AlMasryAlYoum دى حفله ياجدعاااان أكيد هو ميعرفش مين الناس دى  هو اى فنان او نجم اوشخصيه معروفه هتسال حد لما يجى يتصور معاها  أكيد لا ، والله اعلم برضو معرفينش الحقيقه فين ..,محمد رمضان,comment,,support,,support,,,,support,0.0
2836,3626,"""سمو <span class=""stance-tagging"">#ولي_العهد</span> يترأس الجلسة الثانية لليوم الثاني لقمة الرياض لقادة #مجموعة_العشرين https://t.co/Mx8oWyC6L6""",@Badermasaker #كلمة_محمد_بن_سلمان_G20 يارب 🙏 ●  أقسم بالله انا صادق في كلامي ● ولي العهد فخر العرب محمد بن سلمان   ابي دكتور صيدلي مريض بالقلب السكر وجلطة في المخ و القلب  أدى إلى تراكمت الديون والاقساط البنوك متأخرة  انا ترك التعليم من أجل ابي اقف بجواره واساعده   أرجوك ساعد ابي مريض https://t.co/TGnuDkS67L,ولي العهد,support,,,support,support,,,,support,0.0
2169,2736,"""نجاج أستضافة <span class=""stance-tagging"">السعودية</span> لقمة العشرين، أصاب قطر ومرتزقتها بجنون البقر. مذيعة في قناة عزمي تدعي أن قطر هي من أستضافت قمة العشرين 😂 https://t.co/jFBmLwX6SY""",@TurkeyAffairs هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه والله مسخره,السعودية,comment,,comment,,support,,,,comment,2.0
5788,30551,"""الرئيس المصري <span class=""stance-tagging"">عبد الفتاح السيسي</span>: """"لا يستطيع أحد أخذ نقطة مياه من مصر وإلا ستشهد المنطقة عدم استقرار لا يتصوره أحد""""""",@bbcarabicalerts نعم لا يستطيع أحد أن يأخذ نقطة ماء من أي مكان لأنه لا فائدة منها ، إنما تيران وصنافير تروح مقابل الدولارات ، والغاز يباع على اسرائيل بثمن بخس وتشتريه مصر بثمن غالي ، و هو يعي جيداً أن جيشه هزيل ولا يصلح إلا لقمع العزل من الشعب فلن يواجه اثيوبيا التي عملت السد وتتصدق عليه بالماء..,عبد الفتاح السيسي,,,,,deny,,,deny,deny,1.0
